id	filename	md5	size	state
001c6345-176c-4ab3-a0c8-27384879a8ff	8f4891e2-55c1-48f4-bdce-c3848f74b8dc.htseq.counts.gz	74a69d5862912ec5507d26f1bf7c71e5	254599	validated
006af4ef-77ce-4652-8f61-9c475caa9b89	022cbd07-3e20-4144-b2ab-8c76adffae73.FPKM.txt.gz	13f393e9da2ac0b28377c9880f21d511	506864	validated
006f506a-aa69-4629-8af2-d11555eb49c9	85ac083c-dbb9-4541-8b75-d73ab216f54c.FPKM.txt.gz	576a5d4630f2fbc236f2ed57639ef4b1	504810	validated
00853151-d266-42a3-8690-5b9751dd9647	7f147a1b-4ca6-481b-a79d-be653bbff528.htseq.counts.gz	eafb9410dec1bd02ddecf1f1fc3ea813	256334	validated
00c464e4-0169-41f8-a028-b847a78b1637	cf792f7f-a3ee-4544-b029-8c4e4da4f973.FPKM.txt.gz	ce49e2f5a8eb403a84942bd2439ef9c1	491617	validated
00e3c529-4162-4d0e-9d97-ec806a40e345	9c62a984-f89a-4838-af13-786468b293c1.htseq.counts.gz	655a62b0a554b30865c859f06691c91f	248718	validated
00f5e705-ae00-440e-8e18-9c15726d48c6	0cd5fbf1-9e0f-4017-9e26-93ff0828c169.htseq.counts.gz	bfe7aef2bd4898168867012eec596712	259978	validated
0140d8c3-b440-49c4-833f-dd63e32858b3	5d6d057e-dd3f-4a85-8bf1-74d5069c7d9d.FPKM-UQ.txt.gz	5d72390fe9cc385b349af6aee64f13a1	538653	validated
014c7dc5-5b88-413d-a8b1-d059e1a17ad3	d81394e3-a55e-4b85-b13d-e3fa1806c800.FPKM-UQ.txt.gz	7189ca438128e634ea163d9182ee36ed	558532	validated
015abfd3-b82c-4b5d-8e97-e9dc868ea7e9	186b83bd-ec3f-42b4-ba91-d86c9618d5e3.FPKM.txt.gz	035edc0b2b3df048f393a176bd3a98d6	539091	validated
01849baf-6dfb-4dd6-a207-d29e2bcc95d9	ce786209-c77d-47e0-95a6-20c036bed8b3.FPKM.txt.gz	d10004cf5f1f7895bae6e14834ed9e8b	506566	validated
01cb9942-ff60-4eb9-834d-020f18f07040	20c6123b-33b6-46a7-8625-482e4594c032.FPKM-UQ.txt.gz	86672cd0a2ec2a4b760aebdba6dfb15c	530270	validated
